,Player,Pos,season_WAR,avg_ww_pWAS,avg_pWAS,games_played
47,Bruno Fernandes,M,1.7482833333333332,-0.0398969696969697,0.11903787878787876,11
135,Jack Grealish,M,1.7247833333333333,-0.0399875,0.10374444444444446,12
125,Harry Kane,F,1.4468000000000003,-0.04465238095238096,0.058690476190476196,14
196,Kevin De Bruyne,M,1.3863333333333332,-0.043624242424242426,0.08240606060606061,11
245,Mohamed Salah,F,1.3520499999999998,-0.04713472222222223,0.06553611111111109,12
154,Jamie Vardy,F,1.2136500000000001,-0.0470513888888889,0.05408611111111111,12
87,Dominic Calvert-Lewin,F,1.189833333333333,-0.04465238095238096,0.040335714285714294,14
323,Son Heung-Min,F,1.05825,-0.04538076923076924,0.03602307692307691,13
34,Ben Chilwell,D,0.9669666666666666,-0.030233333333333327,0.06646333333333333,10
201,Kurt Zouma,D,0.9609833333333333,-0.0329025641025641,0.04101923076923078,13
136,Jack Harrison,M,0.9515666666666667,-0.037130303030303034,0.04937575757575758,11
21,Andrew Robertson,D,0.9224333333333333,-0.03049642857142857,0.03539166666666666,14
225,Mason Mount,M,0.8972166666666668,-0.04007083333333334,0.034697222222222227,12
153,James Ward-Prowse,M,0.8952333333333333,-0.038948809523809524,0.024996428571428576,14
151,James Rodriguez,M,0.83895,-0.03948166666666667,0.04441333333333334,10
164,Joao Cancelo,D,0.8260666666666666,-0.03907962962962963,0.052705555555555554,9
156,Jannik Vestergaard,D,0.8178833333333334,-0.02991666666666667,0.03824027777777778,12
309,Sadio Mane,F,0.7958833333333334,-0.04719545454545455,0.025157575757575757,11
351,Vladimir Coufal,D,0.7814166666666666,-0.032707575757575755,0.03833030303030302,11
288,Reece James,D,0.73755,-0.027642424242424243,0.03940757575757576,11
274,Patrick Bamford,F,0.6932999999999999,-0.04465238095238096,0.004869047619047613,14
209,Lucas Digne,D,0.6713,-0.027356250000000006,0.05655625000000001,8
278,Pedro Neto,F,0.66495,-0.046305128205128214,0.0048448717948718,13
74,Daniel Podence,M,0.6629166666666665,-0.037561538461538466,0.013432051282051275,13
329,Tammy Abraham,F,0.6411833333333332,-0.03843571428571429,0.05316190476190476,7
22,Andros Townsend,M,0.6340333333333333,-0.03737121212121213,0.020268181818181814,11
