,Player,Pos,gameweek,pWAS,ww_pWAS,WAR
79,Mohamed Salah,F,1,0.30976666666666663,-0.08998333333333335,0.39975
19,Reece James,D,1,0.2298666666666667,-0.038483333333333335,0.26835000000000003
146,Romain Saiss,D,1,0.19604999999999997,-0.038483333333333335,0.23453333333333332
69,Timothy Castagne,D,1,0.1858,-0.038483333333333335,0.22428333333333333
0,Willian,F,1,0.12298333333333329,-0.08998333333333335,0.21296666666666664
39,Lucas Digne,D,1,0.15905,-0.038483333333333335,0.19753333333333334
70,Jamie Vardy,F,1,0.10150000000000003,-0.08998333333333335,0.1914833333333334
20,Jorginho,M,1,0.17185000000000003,-0.005233333333333349,0.17708333333333337
88,Jeff Hendrick,M,1,0.16621666666666668,-0.005233333333333349,0.17145000000000002
29,Scott Dann,D,1,0.11733333333333333,-0.038483333333333335,0.15581666666666666
1,Gabriel Magalhaes,D,1,0.11576666666666664,-0.038483333333333335,0.15424999999999997
40,Dominic Calvert-Lewin,F,1,0.04426666666666664,-0.08998333333333335,0.13424999999999998
41,Richarlison,F,1,0.03751666666666664,-0.08998333333333335,0.1275
71,James Justin,D,1,0.08836666666666666,-0.038483333333333335,0.12685
10,Tariq Lamptey,D,1,0.08561666666666663,-0.038483333333333335,0.12409999999999996
89,Jamal Lewis,D,1,0.07993333333333334,-0.038483333333333335,0.11841666666666667
21,Kurt Zouma,D,1,0.07619999999999998,-0.038483333333333335,0.1146833333333333
147,Willy Boly,D,1,0.07610000000000001,-0.038483333333333335,0.11458333333333334
59,Jack Harrison,M,1,0.09961666666666665,-0.005233333333333349,0.10485
60,Mateusz Klich,M,1,0.09961666666666665,-0.005233333333333349,0.10485
30,Andros Townsend,M,1,0.09671666666666663,-0.005233333333333349,0.10194999999999999
90,Callum Wilson,F,1,0.00943333333333333,-0.08998333333333335,0.09941666666666668
42,James Rodriguez,M,1,0.09415000000000003,-0.005233333333333349,0.09938333333333338
148,Raul Jimenez,F,1,0.009183333333333321,-0.08998333333333335,0.09916666666666667
61,Kalvin Phillips,M,1,0.08943333333333336,-0.005233333333333349,0.09466666666666672
43,Abdoulaye Doucoure,M,1,0.08916666666666666,-0.005233333333333349,0.09440000000000001
2,Pierre-Emerick Aubameyang,F,1,0.0023500000000000187,-0.08998333333333335,0.09233333333333336
44,Seamus Coleman,D,1,0.05179999999999999,-0.038483333333333335,0.09028333333333333
3,Alexandre Lacazette,F,1,-0.0008833333333333471,-0.08998333333333335,0.0891
4,Rob Holding,D,1,0.040416666666666656,-0.038483333333333335,0.0789
11,Leandro Trossard,M,1,0.07258333333333333,-0.005233333333333349,0.07781666666666669
91,Javier Manquillo,D,1,0.0390166666666667,-0.038483333333333335,0.07750000000000004
80,Sadio Mane,F,1,-0.015633333333333315,-0.08998333333333335,0.07435000000000003
72,Dennis Praet,M,1,0.06736666666666669,-0.005233333333333349,0.07260000000000004
22,Timo Werner,F,1,-0.01808333333333334,-0.08998333333333335,0.0719
92,Federico Fernandez,D,1,0.031666666666666655,-0.038483333333333335,0.07014999999999999
98,Oliver McBurnie,F,1,-0.021683333333333315,-0.08998333333333335,0.06830000000000003
149,Marcal,D,1,0.029566666666666668,-0.038483333333333335,0.06805
31,Joel Ward,D,1,0.02874999999999998,-0.038483333333333335,0.06723333333333331
150,Conor Coady,D,1,0.022733333333333345,-0.038483333333333335,0.06121666666666668
45,Yerry Mina,D,1,0.02041666666666664,-0.038483333333333335,0.05889999999999997
151,Daniel Podence,M,1,0.053300000000000014,-0.005233333333333349,0.05853333333333336
73,Harvey Barnes,M,1,0.05046666666666666,-0.005233333333333349,0.055700000000000006
93,Jamaal Lascelles,D,1,0.015199999999999991,-0.038483333333333335,0.053683333333333326
46,Michael Keane,D,1,0.014833333333333329,-0.038483333333333335,0.053316666666666665
152,Joao Moutinho,M,1,0.04693333333333335,-0.005233333333333349,0.052166666666666694
33,Tyrick Mitchell,D,1,0.012783333333333369,-0.038483333333333335,0.0512666666666667
5,Kieran Tierney,D,1,0.011550000000000024,-0.038483333333333335,0.05003333333333336
153,Pedro Neto,F,1,-0.04043333333333332,-0.08998333333333335,0.049550000000000025
81,Virgil van Dijk,D,1,0.00868333333333334,-0.038483333333333335,0.047166666666666676
32,Wilfried Zaha,M,1,0.041633333333333335,-0.005233333333333349,0.04686666666666668
62,Patrick Bamford,F,1,-0.043900000000000015,-0.08998333333333335,0.04608333333333333
75,Caglar Soyuncu,D,1,0.007233333333333314,-0.038483333333333335,0.04571666666666665
74,Youri Tielemans,M,1,0.03744999999999998,-0.005233333333333349,0.04268333333333333
63,Helder Costa,F,1,-0.05249999999999999,-0.08998333333333335,0.037483333333333355
6,Hector Bellerin,D,1,-0.0057499999999999956,-0.038483333333333335,0.032733333333333337
34,James McArthur,M,1,0.026433333333333347,-0.005233333333333349,0.0316666666666667
117,Son Heung-Min,F,1,-0.060383333333333324,-0.08998333333333335,0.029600000000000022
154,Leander Dendoncker,M,1,0.02066666666666665,-0.005233333333333349,0.0259
136,Ryan Fredericks,D,1,-0.01266666666666666,-0.038483333333333335,0.025816666666666675
82,Georginio Wijnaldum,M,1,0.020333333333333314,-0.005233333333333349,0.025566666666666665
155,Adama Traore,F,1,-0.0647,-0.08998333333333335,0.025283333333333352
83,Andrew Robertson,D,1,-0.017816666666666665,-0.038483333333333335,0.02066666666666667
95,Andy Carroll,F,1,-0.06931666666666668,-0.08998333333333335,0.020666666666666667
24,N'Golo Kante,M,1,0.013050000000000006,-0.005233333333333349,0.018283333333333356
23,Mason Mount,M,1,0.012683333333333305,-0.005233333333333349,0.017916666666666654
13,Steven Alzate,F,1,-0.07371666666666665,-0.08998333333333335,0.016266666666666693
12,Solly March,M,1,0.00981666666666666,-0.005233333333333349,0.015050000000000008
118,Ben Davies,D,1,-0.023616666666666675,-0.038483333333333335,0.01486666666666666
94,Jonjo Shelvey,M,1,0.00883333333333336,-0.005233333333333349,0.01406666666666671
108,Oriol Romeu,M,1,0.00814999999999999,-0.005233333333333349,0.01338333333333334
109,Jack Stephens,D,1,-0.026883333333333332,-0.038483333333333335,0.011600000000000003
126,Matheus Pereira,M,1,0.004200000000000019,-0.005233333333333349,0.009433333333333368
14,Yves Bissouma,M,1,0.001433333333333342,-0.005233333333333349,0.006666666666666691
84,Jordan Henderson,M,1,-0.000150000000000002,-0.005233333333333349,0.005083333333333348
110,James Ward-Prowse,M,1,-0.0003666666666666818,-0.005233333333333349,0.004866666666666668
99,John Fleck,M,1,-0.0012499999999999734,-0.005233333333333349,0.003983333333333376
119,Harry Kane,F,1,-0.0862,-0.08998333333333335,0.003783333333333347
111,Ryan Bertrand,D,1,-0.03576666666666667,-0.038483333333333335,0.002716666666666666
100,John Lundstram,M,1,-0.005333333333333338,-0.005233333333333349,-9.999999999998899e-05
137,Michail Antonio,M,1,-0.007233333333333332,-0.005233333333333349,-0.0019999999999999827
47,Allan,M,1,-0.0075166666666666715,-0.005233333333333349,-0.002283333333333322
