,starter_counts_F,ww_counts_F,starter_counts_M,ww_counts_M,starter_counts_D,ww_counts_D
0,16,13,24,41,20,42
1,17,12,26,39,25,37
2,18,11,34,31,31,31
3,21,13,28,46,19,56
4,25,9,36,38,25,50
5,26,8,46,28,34,41
6,22,16,28,47,23,56
7,25,13,33,42,26,53
8,27,11,45,30,37,42
9,19,18,27,41,28,51
10,24,13,32,36,32,47
11,26,11,42,26,43,36
12,20,17,32,48,24,55
13,22,15,36,44,30,49
14,26,11,48,32,39,40
15,20,10,26,53,27,53
16,21,9,32,47,33,47
17,25,5,42,37,41,39
18,21,14,25,50,25,57
19,24,11,30,45,29,53
20,26,9,40,35,39,43
21,23,13,31,45,32,52
22,25,11,38,38,36,48
23,26,10,50,26,53,31
24,21,15,24,53,23,55
25,22,14,30,47,29,49
26,22,14,39,38,39,39
27,19,19,23,52,21,55
28,22,16,29,46,24,52
29,22,16,39,36,34,42
30,18,17,20,46,21,47
31,21,14,24,42,27,41
32,22,13,35,31,38,30
33,22,18,24,51,21,54
34,24,16,27,48,27,48
35,27,13,41,34,36,39
36,20,21,28,51,20,55
37,21,20,32,47,27,48
38,25,16,42,37,38,37
39,16,19,22,55,18,56
40,17,18,27,50,25,49
41,22,13,40,37,38,36
